#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.29527    -25.919022    -25.920316
   0.33746    -25.919020    -25.920313
   0.37964    -25.919017    -25.920308
   0.42182    -25.919014    -25.920303
   0.46400    -25.919012    -25.920299
   0.50618    -25.919011    -25.920298
   0.50618    -25.919011    -25.920298
   0.55092    -25.919011    -25.920298
   0.59566    -25.919013    -25.920300
   0.64041    -25.919015    -25.920304
   0.68515    -25.919019    -25.920309
   0.72989    -25.919022    -25.920313
   0.77463    -25.919024    -25.920317
   0.81937    -25.919026    -25.920319
   0.86411    -25.919027    -25.920320
 
# Band-Index   28
   0.86411    -25.892231    -25.890976
   0.81937    -25.892231    -25.890976
   0.77463    -25.892231    -25.890976
   0.72989    -25.892230    -25.890975
   0.68515    -25.892229    -25.890975
   0.64041    -25.892228    -25.890975
   0.59566    -25.892227    -25.890974
   0.55092    -25.892227    -25.890974
   0.50618    -25.892228    -25.890975
   0.50618    -25.892228    -25.890975
   0.46400    -25.892228    -25.890974
   0.42182    -25.892228    -25.890974
   0.37964    -25.892228    -25.890974
   0.33746    -25.892228    -25.890975
   0.29527    -25.892228    -25.890975
   0.25309    -25.892228    -25.890975
   0.25309    -25.892228    -25.890975
   0.21091    -25.892228    -25.890974
   0.16873    -25.892229    -25.890975
   0.12655    -25.892229    -25.890975
   0.08436    -25.892230    -25.890976
   0.04218    -25.892230    -25.890976
   0.00000    -25.892231    -25.890976
 
# Band-Index   29
   0.00000    -25.870332    -25.881982
   0.04218    -25.870337    -25.881987
   0.08436    -25.870348    -25.881999
   0.12655    -25.870364    -25.882016
   0.16873    -25.870381    -25.882034
   0.21091    -25.870392    -25.882045
   0.25309    -25.870398    -25.882051
   0.25309    -25.870398    -25.882051
   0.29527    -25.870398    -25.882050
   0.33746    -25.870399    -25.882051
   0.37964    -25.870400    -25.882051
   0.42182    -25.870401    -25.882052
   0.46400    -25.870401    -25.882052
   0.50618    -25.870402    -25.882053
   0.50618    -25.870402    -25.882053
   0.55092    -25.870398    -25.882049
   0.59566    -25.870390    -25.882041
   0.64041    -25.870380    -25.882031
   0.68515    -25.870366    -25.882017
   0.72989    -25.870352    -25.882002
   0.77463    -25.870342    -25.881992
   0.81937    -25.870335    -25.881985
   0.86411    -25.870332    -25.881982
 
# Band-Index   30
   0.86411    -25.862970    -25.870047
   0.81937    -25.862971    -25.870049
   0.77463    -25.862973    -25.870053
   0.72989    -25.862977    -25.870060
   0.68515    -25.862981    -25.870069
   0.64041    -25.862985    -25.870078
   0.59566    -25.862989    -25.870085
   0.55092    -25.862992    -25.870090
   0.50618    -25.862994    -25.870093
   0.50618    -25.862994    -25.870093
   0.46400    -25.862990    -25.870087
   0.42182    -25.862985    -25.870077
   0.37964    -25.862977    -25.870061
   0.33746    -25.862969    -25.870045
   0.29527    -25.862963    -25.870034
   0.25309    -25.862960    -25.870029
   0.25309    -25.862960    -25.870029
   0.21091    -25.862961    -25.870030
   0.16873    -25.862963    -25.870034
   0.12655    -25.862965    -25.870038
   0.08436    -25.862968    -25.870043
   0.04218    -25.862969    -25.870045
   0.00000    -25.862970    -25.870047
 
# Band-Index   31
   0.00000    -25.831259    -25.839679
   0.04218    -25.831258    -25.839678
   0.08436    -25.831259    -25.839679
   0.12655    -25.831260    -25.839680
   0.16873    -25.831261    -25.839681
   0.21091    -25.831261    -25.839681
   0.25309    -25.831262    -25.839681
   0.25309    -25.831262    -25.839681
   0.29527    -25.831261    -25.839681
   0.33746    -25.831261    -25.839681
   0.37964    -25.831261    -25.839680
   0.42182    -25.831261    -25.839680
   0.46400    -25.831261    -25.839679
   0.50618    -25.831261    -25.839680
   0.50618    -25.831261    -25.839680
   0.55092    -25.831261    -25.839679
   0.59566    -25.831261    -25.839679
   0.64041    -25.831260    -25.839679
   0.68515    -25.831260    -25.839679
   0.72989    -25.831260    -25.839680
   0.77463    -25.831259    -25.839680
   0.81937    -25.831259    -25.839679
